"","posted_date","avg_messages"
"1","2024-08-02",104
"2","2024-08-03",102.551724137931
"3","2024-08-04",108.333333333333
"4","2024-08-05",120.666666666667
"5","2024-08-06",121.133333333333
"6","2024-08-07",119
"7","2024-08-08",117.933333333333
"8","2024-08-09",112.166666666667
"9","2024-08-10",104.633333333333
"10","2024-08-11",90.5
"11","2024-08-12",111.8
"12","2024-08-13",113.666666666667
"13","2024-08-14",118.766666666667
"14","2024-08-15",104.966666666667
"15","2024-08-16",108
"16","2024-08-17",102.071428571429
"17","2024-08-18",102.103448275862
"18","2024-08-19",135.866666666667
"19","2024-08-20",112.466666666667
"20","2024-08-21",117
"21","2024-08-22",110.1
"22","2024-08-23",109.9
"23","2024-08-24",106
"24","2024-08-25",99.448275862069
"25","2024-08-26",128.620689655172
"26","2024-08-27",116.275862068966
"27","2024-08-28",118.103448275862
"28","2024-08-29",118.51724137931
"29","2024-08-30",121.5
"30","2024-08-31",101.666666666667
"31","2024-09-01",106.58064516129
"32","2024-09-02",129.033333333333
"33","2024-09-03",130.862068965517
"34","2024-09-04",132.862068965517
"35","2024-09-05",125.586206896552
"36","2024-09-06",106.2
"37","2024-09-07",83.9333333333333
"38","2024-09-08",91.9333333333333
"39","2024-09-09",106.133333333333
"40","2024-09-10",115.166666666667
"41","2024-09-11",125.161290322581
"42","2024-09-12",113.548387096774
"43","2024-09-13",114.096774193548
"44","2024-09-14",103.193548387097
"45","2024-09-15",129.258064516129
"46","2024-09-16",131.967741935484
"47","2024-09-17",125.258064516129
"48","2024-09-18",119
"49","2024-09-19",110.129032258065
"50","2024-09-20",113.58064516129
"51","2024-09-21",90.1333333333333
"52","2024-09-22",97.9354838709677
"53","2024-09-23",123.483870967742
"54","2024-09-24",110.387096774194
"55","2024-09-25",119.903225806452
"56","2024-09-26",106.516129032258
"57","2024-09-27",115.548387096774
"58","2024-09-28",90.6774193548387
"59","2024-09-29",97.8064516129032
